,Company,Title,Category,Location,Responsibilities,Minimum_Qualifications,Preferred_Qualifications,Country,Responsibilities_clean,Minimum_Qualifications_clean,Preferred_Qualifications_clean
173,Google,"Global Technical Alliance Manager, Strategic Consultative Partnerships",Partnerships,"Sunnyvale, CA, United States","Work with Alliance Managers to manage and grow new strategic partnerships, acting as Chief Technical Officer (CTO) of the partnership.
Demonstrate thought leadership and become a trusted technical advisor to our partners.
Develop technical relationships with leaders from partners’ vertical and horizontal practice areas.
Provide architectural advisory support for partners and their customers, including reviewing partners’ solution designs and identifying how to maximizing usage of Google products, independently architecting and documenting new solutions which would meet partners’ business objectives, and working closely with field sales teams to solve partner problems and address detailed questions in active agreements.
Co-develop Go-to-Market offerings with our partners to meet the needs of joint customers.","BS degree in Computer Science or equivalent practical experience.
5 years of experience in enterprise IT, Technology Consulting or Independent Software Vending (ISV) presenting complex technical topics to stakeholders, or equivalent practical experience.
Experience across cloud computing (infrastructure, storage, platforms and data), as well as cloud market, competitive dynamics and customer buying behavior.","Master's degree in Computer Science or equivalent practical experience.
7 years of experience as a Technology Architect in a large consulting firm.
Experience delivering cloud-based solutions for enterprise customers, and experience with distributed systems, infrastructure automation, continuous integration, relational and NoSQL databases, load balancing, storage and high availability.
Experience building a practice area including skill/capability development, definition of offerings and asset development.
Ability to code with Java or Python and leverage cloud-based Big Data platforms and services to solve business analytics problems in the cloud.
Ability to mix technical expertise with simple, everyday language to deliver a story that is memorable and useful.",United States,Work Alliance Managers manage grow new strategic partnerships acting Chief Technical Officer CTO partnership Demonstrate thought leadership become trusted technical advisor partners Develop technical relationships leaders partners ’ vertical horizontal practice areas Provide architectural advisory support partners customers including reviewing partners ’ solution designs identifying maximizing usage Google products independently architecting documenting new solutions would meet partners ’ business objectives working closely field sales teams solve partner problems address detailed questions active agreements Co-develop Go-to-Market offerings partners meet needs joint customers,BS degree Computer Science equivalent practical experience 5 years experience enterprise IT Technology Consulting Independent Software Vending ISV presenting complex technical topics stakeholders equivalent practical experience Experience across cloud computing infrastructure storage platforms data well cloud market competitive dynamics customer buying behavior,Master 's degree Computer Science equivalent practical experience 7 years experience Technology Architect large consulting firm Experience delivering cloud-based solutions enterprise customers experience distributed systems infrastructure automation continuous integration relational NoSQL databases load balancing storage high availability Experience building practice area including skill/capability development definition offerings asset development Ability code Java Python leverage cloud-based Big Data platforms services solve business analytics problems cloud Ability mix technical expertise simple everyday language deliver story memorable useful
174,Google,"Technical Writer, University Graduate",Technical Writing,"Mountain View, CA, United States","Write technical documentation for our external developer audience, such as API reference docs and developer guides.
Design and organize documentation sets for new APIs and developer products.
Edit, clarify, and proofread documents written by others, and coach non-writers on ways to improve their writing skills.
Supplement developer documentation with relevant sample code.","BA/BS degree or equivalent practical experience.
Experience with online publishing or web development, and proficiency in technical writing, product documentation, journalism, or related writing disciplines.
Experience with code written in Java, C++, Python, and/or JavaScript.
Legal authorization to work in the United States.","Graduating from BA/BS degree or MA/MS degree in 2018.
Familiarity with source code management, build systems and related processes, and the ability to quickly learn and use technology.
Proficiency with HTML, CSS and a UNIX environment.
Ability to manage multiple competing priorities in a fast-paced, constantly changing environment.",United States,Write technical documentation external developer audience API reference docs developer guides Design organize documentation sets new APIs developer products Edit clarify proofread documents written others coach non-writers ways improve writing skills Supplement developer documentation relevant sample code,BA/BS degree equivalent practical experience Experience online publishing web development proficiency technical writing product documentation journalism related writing disciplines Experience code written Java C++ Python and/or JavaScript Legal authorization work United States,Graduating BA/BS degree MA/MS degree 2018 Familiarity source code management build systems related processes ability quickly learn use technology Proficiency HTML CSS UNIX environment Ability manage multiple competing priorities fast-paced constantly changing environment
175,Google,"Product Operations and Strategy Lead, Engineering",Program Management,"San Bruno, CA, United States","Gather and analyze large amounts of information expeditiously, developing compelling, insightful recommendations.
Build consensus among cross-functional teams and influence decision making within senior-level audiences; lead execution against recommendations quickly and with accuracy.
Create operational processes and practices that drive efficiencies for the leader, leadership team and organization.
Enable and foster a culture of high organizational performance through internal and cross-group initiatives and leading cross-team projects to optimize organizational performance.
Partner at an executive level to shape and define management operational priorities and execution plans.","BA/BS degree or equivalent practical experience.
8 years of experience in Management Consulting, Corporate Development, Product Management, Engineering, Operations or Finance/Investment Banking/Venture Capital.","MBA or graduate degree in a management, technical or engineering field.
Experience leading complex operational and strategic initiatives across various geographies.
Ability to present to and communicate with executives.
Distinctive problem solving and analysis skills, combined with impeccable business judgment.",United States,Gather analyze large amounts information expeditiously developing compelling insightful recommendations Build consensus among cross-functional teams influence decision making within senior-level audiences lead execution recommendations quickly accuracy Create operational processes practices drive efficiencies leader leadership team organization Enable foster culture high organizational performance internal cross-group initiatives leading cross-team projects optimize organizational performance Partner executive level shape define management operational priorities execution plans,BA/BS degree equivalent practical experience 8 years experience Management Consulting Corporate Development Product Management Engineering Operations Finance/Investment Banking/Venture Capital,MBA graduate degree management technical engineering field Experience leading complex operational strategic initiatives across various geographies Ability present communicate executives Distinctive problem solving analysis skills combined impeccable business judgment
176,Google,"Sales Engineer, Google Cloud Platform",Technical Solutions,"Istanbul, Turkey","Work with the team to identify and qualify business opportunities, identify key customer technical objections and develop the strategy to resolve technical impediments to transactions. Travel to customer sites and conferences as required.
Take responsibility for technical aspects of solutions to include such activities as supporting bid responses, product and solution briefings, proof-of-concept work and the coordination of supporting technical resources.
Work hands-on with Google Cloud Platform products to demonstrate and prototype integrations in customer/partner environments.
Present, demonstrate and run workshops using G Suite, Chrome and mobility devices to highlight their business value and organizational impact.
Prepare and deliver product messaging in an effort to highlight Google Cloud Platform and G Suite value proposition using techniques to include whiteboard and slide presentations, product demonstrations, white papers, trial management and RFI/RFP response documents.","BA/BS degree in Computer Science or equivalent practical experience.
Experience as a Technical Sales Engineer in a cloud computing environment or equivalent experience in a customer-facing role and as a member of a professional services or systems engineering team.","Master's degree in Computer Science or other technical field.
Experience with Big Data, PaaS, and IaaS technologies.
Experience of architecting and developing software or infrastructure for scalable, distributed systems.
Experience in and understanding of data and information management - relating to Big Data trends and issues within businesses.
Ability to quickly learn, understand, and work with new emerging technologies, methodologies, and solutions in the cloud/IT Technology space.
Effective presentation skills, with the ability to deliver a technical pitch.",Turkey,Work team identify qualify business opportunities identify key customer technical objections develop strategy resolve technical impediments transactions Travel customer sites conferences required Take responsibility technical aspects solutions include activities supporting bid responses product solution briefings proof-of-concept work coordination supporting technical resources Work hands-on Google Cloud Platform products demonstrate prototype integrations customer/partner environments Present demonstrate run workshops using G Suite Chrome mobility devices highlight business value organizational impact Prepare deliver product messaging effort highlight Google Cloud Platform G Suite value proposition using techniques include whiteboard slide presentations product demonstrations white papers trial management RFI/RFP response documents,BA/BS degree Computer Science equivalent practical experience Experience Technical Sales Engineer cloud computing environment equivalent experience customer-facing role member professional services systems engineering team,Master 's degree Computer Science technical field Experience Big Data PaaS IaaS technologies Experience architecting developing software infrastructure scalable distributed systems Experience understanding data information management relating Big Data trends issues within businesses Ability quickly learn understand work new emerging technologies methodologies solutions cloud/IT Technology space Effective presentation skills ability deliver technical pitch
177,Google,"Technical Solutions Engineering Manager, Firebase, Google Cloud",Technical Solutions,"Waterloo, ON, Canada","Lead a team of Technical Solutions Engineers who deliver technical support across all Firebase products for Google Cloud customers.
Ensure high-quality customer service and ongoing technical skill development.
Partner with Firebase Product Management, Engineering, and the Developer Product teams to translate customer needs into a better overall product; recognize trends in customer feedback and escalate issues within Google.
Partner with Software Engineering and Site Reliability Engineering teams to manage production incidents in real time, with emphasis on timely and through issue identification and customer communication.
Resolve high-profile escalations and issues, improve the customer experience and drive initiatives that increase their likelihood of success on our platform.","BA/BS degree in Computer Science or a related technical field, or equivalent practical experience.
8 years of experience building a technical, customer-facing team.
2 years experience in mobile app development on Android and/or iOS.","Experience in mobile app development in a corporate environment.
Experience with Java for Android, and Objective-C for iOS, HTML and JavaScript.
Experience implementing, troubleshooting and supporting internet-based applications, web servers, data storage, commerce engines, and Linux/Unix operating systems.
Demonstrated ability to operate in a customer focused environment and advocate for customers across a cross-functional organization.
Excellent judgment, strategic thinking, and creative problem-solving skills, with effective communication skills and executive presence.",Canada,Lead team Technical Solutions Engineers deliver technical support across Firebase products Google Cloud customers Ensure high-quality customer service ongoing technical skill development Partner Firebase Product Management Engineering Developer Product teams translate customer needs better overall product recognize trends customer feedback escalate issues within Google Partner Software Engineering Site Reliability Engineering teams manage production incidents real time emphasis timely issue identification customer communication Resolve high-profile escalations issues improve customer experience drive initiatives increase likelihood success platform,BA/BS degree Computer Science related technical field equivalent practical experience 8 years experience building technical customer-facing team 2 years experience mobile app development Android and/or iOS,Experience mobile app development corporate environment Experience Java Android Objective-C iOS HTML JavaScript Experience implementing troubleshooting supporting internet-based applications web servers data storage commerce engines Linux/Unix operating systems Demonstrated ability operate customer focused environment advocate customers across cross-functional organization Excellent judgment strategic thinking creative problem-solving skills effective communication skills executive presence
178,Google,"Technical Enablement Manager, Global Partner, Google Cloud",Program Management,"New York, NY, United States","Design a compelling portfolio of technical trainings, tools, resources, incentives, product roadmaps and white space analysis for partners.
Build a model to ensure our partners are provided the guidance and expertise to be incredibly knowledgeable with GCP.
Build consistent offerings to energize the market and ecosystem to partner with Google.","BA/BS degree in Computer Science or Software Engineering, or equivalent practical experience.
10 years of experience in partner programs working at a software or cloud company.
Experience building programmatic technical tools, trainings and resources.","MBA or Master's degree.
Experience with transition channel models to include cloud, SaaS, Services and Advisory Programs.
Ability to manage numerous infrastructure projects simultaneously and drive them to successful completion, with a wide range of stakeholders and timelines.",United States,Design compelling portfolio technical trainings tools resources incentives product roadmaps white space analysis partners Build model ensure partners provided guidance expertise incredibly knowledgeable GCP Build consistent offerings energize market ecosystem partner Google,BA/BS degree Computer Science Software Engineering equivalent practical experience 10 years experience partner programs working software cloud company Experience building programmatic technical tools trainings resources,MBA Master 's degree Experience transition channel models include cloud SaaS Services Advisory Programs Ability manage numerous infrastructure projects simultaneously drive successful completion wide range stakeholders timelines
179,Google,"Customer Engineer, Google Cloud Platform (Portuguese and English)",Technical Solutions,"São Paulo, Brazil","Use your technical expertise to help a client determine if Google Cloud Platform is right for them.
Work with the Sales team to identify and qualify Platform opportunities through a formal business process. Conduct full technical discovery, identifying pain points, business and technical requirements, “as is” and “to be” scenarios and architect client solutions to meet gathered requirements.
Take full responsibility for the technical aspects of the business cycle including introductory meetings, supporting bid responses, product and solution briefings, proof-of-concept work, and the coordination of additional supporting technical resources. Identify and handle key customer technical objections, prescriptively guiding them to success.
Prepare and deliver product messaging in an effort to highlight Google Cloud Platform value proposition and unique differentiators, using whiteboarding, slide presentations, product demonstrations, white papers, trial management and RFI response documents.
Work hands-on with Google's Cloud Platform products to demonstrate and prototype integrations in customer/partner environments. Make recommendations on integration strategies, enterprise architectures, platforms and application infrastructure required to successfully implement a complete solution, providing “best practice” advice to customers to optimize Google Cloud Platform effectiveness.","Bachelor's degree in Computer Science or a related technical field, or equivalent practical experience.
5 years of experience serving in the capacity of a technical sales engineer in a cloud computing environment or equivalent experience in a customer facing role (including working as a member of a professional services or systems engineering team).
Ability to speak and write in Portuguese and English fluently and idiomatically.","Master's degree in Computer Science or other technical field with experience with Big Data, PaaS, and IaaS technologies.
Experience in and understanding of data and information management - especially as it relates to Big Data trends and issues within businesses; hands-on experience using and/or managing databases. Know your way around Map Reduce, Hadoop, Spark, Flume, Hive, Impala, SparkSQL, BigQuery.
Experience architecting and developing software for scalable, distributed systems.
Working knowledge of Linux, Web 2.0 development platforms, solutions, and related technologies (HTTP, Basic/NTLM,sessions, XML/XSLT/XHTML/HTML), understanding of DNS, TCP, Firewalls, Proxy Servers, DMZ, Load Balancing, VPN, VPC).
Web application development and integration. Software development platforms and solutions to include J2EE, Java servlets, JavaScript, Python, GO, PHP, ASP, CGI, AJAX.
Ability to quickly learn, understand, and work with new emerging technologies, methodologies, and solutions in the Cloud/IT Technology space.",Brazil,Use technical expertise help client determine Google Cloud Platform right Work Sales team identify qualify Platform opportunities formal business process Conduct full technical discovery identifying pain points business technical requirements “ ” “ ” scenarios architect client solutions meet gathered requirements Take full responsibility technical aspects business cycle including introductory meetings supporting bid responses product solution briefings proof-of-concept work coordination additional supporting technical resources Identify handle key customer technical objections prescriptively guiding success Prepare deliver product messaging effort highlight Google Cloud Platform value proposition unique differentiators using whiteboarding slide presentations product demonstrations white papers trial management RFI response documents Work hands-on Google 's Cloud Platform products demonstrate prototype integrations customer/partner environments Make recommendations integration strategies enterprise architectures platforms application infrastructure required successfully implement complete solution providing “ best practice ” advice customers optimize Google Cloud Platform effectiveness,Bachelor 's degree Computer Science related technical field equivalent practical experience 5 years experience serving capacity technical sales engineer cloud computing environment equivalent experience customer facing role including working member professional services systems engineering team Ability speak write Portuguese English fluently idiomatically,Master 's degree Computer Science technical field experience Big Data PaaS IaaS technologies Experience understanding data information management especially relates Big Data trends issues within businesses hands-on experience using and/or managing databases Know way around Map Reduce Hadoop Spark Flume Hive Impala SparkSQL BigQuery Experience architecting developing software scalable distributed systems Working knowledge Linux Web 2.0 development platforms solutions related technologies HTTP Basic/NTLM sessions XML/XSLT/XHTML/HTML understanding DNS TCP Firewalls Proxy Servers DMZ Load Balancing VPN VPC Web application development integration Software development platforms solutions include J2EE Java servlets JavaScript Python GO PHP ASP CGI AJAX Ability quickly learn understand work new emerging technologies methodologies solutions Cloud/IT Technology space
180,Google,"Physical Design/Implementation Engineer, ASIC",Hardware Engineering,"Mountain View, CA, United States","Develop all aspects of Application Specific Integrated Circuit (ASIC) implementation with emphasis on physical synthesis, place and route, static timing analysis, design for testability Verilog generator, third-party IP integration and DVFS in advanced technology nodes.
Manage block and full-chip level physical implementation and QoR (power, timing, area).","BS degree in Electrical Engineering or related field or equivalent practical experience.
Experience in one or more of the following areas: ASIC physical design, digital design and/or physical design flows (synthesis, place and route, STA, DFT, formal verification, CDC, and power analysis, power intent (UPF/CPF), IR/EM analysis).
Experience working with one or more of the following tools: Design Compiler, ICC/ICC2, Innovus/EDI, Primetime, Conformal, Spyglass and/or Power Artist.","1 year of experience in ASIC physical design flows and methodologies in 7nm-40nm process nodes.
Experience and/or knowledge of high level synthesis (HLS).
Experience in IP integration (memories, FLASH, IO’s and Analog IP).
Experience in extraction of design parameters, QoR metrics and analyzing trends.
Knowledge of semiconductor device physics, transistor characteristics and multiple foundry.
Knowledge of Verilog/SystemVerilog scripting and effective scripting skills with Python, Tcl, and/or Perl.",United States,Develop aspects Application Specific Integrated Circuit ASIC implementation emphasis physical synthesis place route static timing analysis design testability Verilog generator third-party IP integration DVFS advanced technology nodes Manage block full-chip level physical implementation QoR power timing area,BS degree Electrical Engineering related field equivalent practical experience Experience one following areas ASIC physical design digital design and/or physical design flows synthesis place route STA DFT formal verification CDC power analysis power intent UPF/CPF IR/EM analysis Experience working one following tools Design Compiler ICC/ICC2 Innovus/EDI Primetime Conformal Spyglass and/or Power Artist,1 year experience ASIC physical design flows methodologies 7nm-40nm process nodes Experience and/or knowledge high level synthesis HLS Experience IP integration memories FLASH IO ’ Analog IP Experience extraction design parameters QoR metrics analyzing trends Knowledge semiconductor device physics transistor characteristics multiple foundry Knowledge Verilog/SystemVerilog scripting effective scripting skills Python Tcl and/or Perl
181,Google,"Product Specialist, Hardware",Program Management,"Mountain View, CA, United States","Represent the voice of the customer to internal stakeholders.
Partner with product and engineering teams. Resolve issues with data and monitor key metrics.
Drive performance and health of the product by resolving user issues. Deliver holistic reports on trends and flag top (and recurring) product issues.
Work cross-functionally with Product Management, Engineering, Vendor Operations, Marketing, and Legal teams.
Coordinate team workflows around troubleshooting customer issues, and prepare for upcoming launches, including user-facing documentation and content. Scale our support model by identifying and driving implementation of automated solutions.","Bachelor's degree or equivalent practical experience.
Must be able to start in Q1 2018.","Experience interacting with product or engineering teams in program/product management, consulting, and customer support.
Experience analyzing large data sets and summarizing trends.
An affinity for technology
Attention to detail with the ability to effectively multi-task and work independently.
Excellent judgment in navigating (and resolving) sensitive situations.
Excellent communication skills (written and verbal)",United States,Represent voice customer internal stakeholders Partner product engineering teams Resolve issues data monitor key metrics Drive performance health product resolving user issues Deliver holistic reports trends flag top recurring product issues Work cross-functionally Product Management Engineering Vendor Operations Marketing Legal teams Coordinate team workflows around troubleshooting customer issues prepare upcoming launches including user-facing documentation content Scale support model identifying driving implementation automated solutions,Bachelor 's degree equivalent practical experience Must able start Q1 2018,Experience interacting product engineering teams program/product management consulting customer support Experience analyzing large data sets summarizing trends An affinity technology Attention detail ability effectively multi-task work independently Excellent judgment navigating resolving sensitive situations Excellent communication skills written verbal
182,Google,"Quantitative Analyst, Trust and Safety",Product & Customer Support,"Zürich, Switzerland","Work with data sets and solve non-routine analytical challenges, applying analytical methods as required. Conduct end-to-end analysis including: data gathering and requirements specification, processing, analysis, ongoing deliverables and presentations.
Build and prototype analysis pipelines iteratively to provide insights at scale. Develop an understanding of data structures and goals, advocating for changes where needed for both products development and sales activity.
Interact cross-functionally with a wide variety of teams, and work closely with Engineers to identify opportunities for design.
Make business recommendations with effective presentations of findings at multiple levels of stakeholders through visual displays of quantitative information.
Research and develop analysis, forecasting, and optimization methods to improve the quality of Google's user facing products.","Master's degree in a quantitative discipline or equivalent practical experience.
Experience working in data analysis or a related field (e.g statistician/data scientist/computational biologist/bioinformatician).","PhD in a quantitative discipline.
Experience in coding (e.g C/C++, Python, Java), databases and querying (e.g SQL, MySQL, MapReduce, Hadoop) and statistical analysis (e.g., R, Stata, SPSS, SAS).
Experience working with fraud, security and threat analysis in the context of Internet-related products/activities.
Experience translating analysis results into business recommendations.
Proficiency in Machine Learning (e.g tools, prepare training sets, train classifiers, etc).
Ability to draw inferences, quantify uncertainty, risk and recommend actions.",Switzerland,Work data sets solve non-routine analytical challenges applying analytical methods required Conduct end-to-end analysis including data gathering requirements specification processing analysis ongoing deliverables presentations Build prototype analysis pipelines iteratively provide insights scale Develop understanding data structures goals advocating changes needed products development sales activity Interact cross-functionally wide variety teams work closely Engineers identify opportunities design Make business recommendations effective presentations findings multiple levels stakeholders visual displays quantitative information Research develop analysis forecasting optimization methods improve quality Google 's user facing products,Master 's degree quantitative discipline equivalent practical experience Experience working data analysis related field e.g statistician/data scientist/computational biologist/bioinformatician,PhD quantitative discipline Experience coding e.g C/C++ Python Java databases querying e.g SQL MySQL MapReduce Hadoop statistical analysis e.g. R Stata SPSS SAS Experience working fraud security threat analysis context Internet-related products/activities Experience translating analysis results business recommendations Proficiency Machine Learning e.g tools prepare training sets train classifiers etc Ability draw inferences quantify uncertainty risk recommend actions
183,Google,"Program Manager, Product Data Management",Program Management,"Sunnyvale, CA, United States","Support the creation of and processing of Bills of Materials, Engineering Change Orders, Manufacturer Change Orders, Deviations and all other Configuration Management activities supporting NPI and sustaining efforts.
Manage planning processes related to PDM systems and business process. Drive alignment of Planning Items with physical/manufacturing BOMs wherever possible; develop and implement change control and communication process.
Integrate with TLA change notification. Drive standardization and documentation of planning item nomenclature. Formalize how planning items should be created, used and maintained throughout all stages of the product lifecycle.
Train on Planning Item Management Process. Manage Planning Item Validation tools and processes for bugs/feature requests.","BA/BS degree or equivalent practical experience.
5 years of industry experience in one or more of the following fields: Product Data Management, New Product Introduction (NPI), Manufacturing Operations, Development and/or Operations Engineering.
2 years of experience in supply planning for manufacturing/field deployment environments.
Experience managing the scoping and delivery of PDM system implementation and/or managing PDM software upgrades from the business perspective working with IT.","6 years of experience in strategic development and implementation of BOM product structures in large scale ERP systems for engineering, planning, procurement, manufacturing and logistics.
5 years of experience with Product Data Management software.
Experience working on hardware products; defining Bill of Materials structures.
Effective computer application skills and excellent attention to detail; quick learner with creative problem-solving and analytical skills.
Ability to think strategically, balancing a broad range of internal and external factors when identifying problems, proposing solutions and making decisions.
Excellent communication and project management skills.",United States,Support creation processing Bills Materials Engineering Change Orders Manufacturer Change Orders Deviations Configuration Management activities supporting NPI sustaining efforts Manage planning processes related PDM systems business process Drive alignment Planning Items physical/manufacturing BOMs wherever possible develop implement change control communication process Integrate TLA change notification Drive standardization documentation planning item nomenclature Formalize planning items created used maintained throughout stages product lifecycle Train Planning Item Management Process Manage Planning Item Validation tools processes bugs/feature requests,BA/BS degree equivalent practical experience 5 years industry experience one following fields Product Data Management New Product Introduction NPI Manufacturing Operations Development and/or Operations Engineering 2 years experience supply planning manufacturing/field deployment environments Experience managing scoping delivery PDM system implementation and/or managing PDM software upgrades business perspective working IT,6 years experience strategic development implementation BOM product structures large scale ERP systems engineering planning procurement manufacturing logistics 5 years experience Product Data Management software Experience working hardware products defining Bill Materials structures Effective computer application skills excellent attention detail quick learner creative problem-solving analytical skills Ability think strategically balancing broad range internal external factors identifying problems proposing solutions making decisions Excellent communication project management skills
184,Google,"Customer Solutions Engineer, Google Technical Services Ads",Technical Solutions,"Gurugram, India","Work closely with our sales team. Identify, develop, and optimize the new business opportunities, and develop warm client relationships by leveraging Google products and technologies.
Develop cutting-edge solutions as the technical lead and provide consulting services to our partners; build lasting relationships and be sensitive to clients’ needs.
Propose, design, create and present prototypes, demos and proofs-of-concept to a wide variety of audiences, from engineers to marketing professionals.
Develop deep relationships with our customers by delivering deep technical value to their online, digital initiatives.
Travel as required to meet with specific partners and clients in the region.","BA/BS degree in Computer Science or a related technical subject, or equivalent practical experience.
Experience with web technologies such as HTML, CSS, JavaScript, and HTTP. Experience with database querying and optimization.
Experience in one or more programming languages, including Java, C++, Python.
Experience working with and managing external partners/customers.","MBA degree or Master’s degree in Computer Science or related field.
2 years of experience in the online advertising industry.
Customer facing experience in sales, sales engineering, consulting or related function.
Proven ability to adapt your message to the technical level of the audience and comfort presenting technical materials to groups of any size and background.
Excellent project management skills and attention to detail.",India,Work closely sales team Identify develop optimize new business opportunities develop warm client relationships leveraging Google products technologies Develop cutting-edge solutions technical lead provide consulting services partners build lasting relationships sensitive clients ’ needs Propose design create present prototypes demos proofs-of-concept wide variety audiences engineers marketing professionals Develop deep relationships customers delivering deep technical value online digital initiatives Travel required meet specific partners clients region,BA/BS degree Computer Science related technical subject equivalent practical experience Experience web technologies HTML CSS JavaScript HTTP Experience database querying optimization Experience one programming languages including Java C++ Python Experience working managing external partners/customers,MBA degree Master ’ degree Computer Science related field 2 years experience online advertising industry Customer facing experience sales sales engineering consulting related function Proven ability adapt message technical level audience comfort presenting technical materials groups size background Excellent project management skills attention detail
185,Google,"Strategic Negotiator, Data Center",Technical Infrastructure,"London, United Kingdom","Work with internal and external Technical teams to identify, define, and pursue new site selection projects and initiatives necessary to meet Google's ongoing data center needs, including the procurement of traditional and green energy for existing and new sites.
Lead the site selection process from start to finish, monitoring progress against objectives, providing regular status reports, and advocating financial models to support both site and energy-related portfolio decisions.
Lead the acquisition of appropriate data centers, and develop strategic agreements with vendors, landowners and key suppliers for space and utility services.
Lead the development, mapping, tracking, and championing of a broad range of portfolio management issues regarding site/infrastructure development.","BA/BS degree in Technology, Engineering, Science or Economics or equivalent practical experience.
Experience with developing strategic agreements, project management and financial modeling.
Ability to travel up to 50% of the time.","Experience with one or more of the following: large collocation, site selection for high-technology, industrial-scale projects, real estate evaluation, acquisition, development, and construction, utility contracts energy-related issues and/or clean energy initiatives.
Familiarity with power transmission and distribution, telecommunications infrastructure, data center technology, industrial class electrical and cooling technology, and/or other related areas of technical expertise.
Demonstrated ability to think 'outside the box' and develop commercially and technically creative solutions.
Ability to work independently and dynamically, while still leading cross-functional strategic efforts.",United Kingdom,Work internal external Technical teams identify define pursue new site selection projects initiatives necessary meet Google 's ongoing data center needs including procurement traditional green energy existing new sites Lead site selection process start finish monitoring progress objectives providing regular status reports advocating financial models support site energy-related portfolio decisions Lead acquisition appropriate data centers develop strategic agreements vendors landowners key suppliers space utility services Lead development mapping tracking championing broad range portfolio management issues regarding site/infrastructure development,BA/BS degree Technology Engineering Science Economics equivalent practical experience Experience developing strategic agreements project management financial modeling Ability travel 50 time,Experience one following large collocation site selection high-technology industrial-scale projects real estate evaluation acquisition development construction utility contracts energy-related issues and/or clean energy initiatives Familiarity power transmission distribution telecommunications infrastructure data center technology industrial class electrical cooling technology and/or related areas technical expertise Demonstrated ability think 'outside box develop commercially technically creative solutions Ability work independently dynamically still leading cross-functional strategic efforts
186,Google,"Technical Solutions Consultant, Google Technical Services",Technical Solutions,"Zürich, Switzerland","Perform implementation reviews, advocate new product features, and ensure the prompt and proper resolution of technical challenges.
Guarantee the technical aspects of a partner’s integration (both new and ongoing) by providing necessary documentation and technical guidance.
Improve product feature offerings by providing partner feedback to internal cross-functional teams including Product Management and Engineering.
Understand operational workflows, identify and define tool needs to enable operational scaling.
Develop technical tools and documentation to expedite client implementation, and improve operational scaling and product serviceability with Engineering.","BA/BS degree in Computer Science or a related technical subject, or equivalent practical experience.
Experience with web technologies such as HTML, CSS, JavaScript, and HTTP.
Experience in one or more programming languages, including Java, C++, Python.
Experience working with and managing external partners/customers.","Familiarity with SQL/MySQL and Unix/Linux operating systems/commands.
Demonstrated ability to adapt your message to the technical level of the audience and comfort presenting technical materials to groups of any size and background.
Excellent project management skills and attention to detail.
Excellent problem solving, analytical and troubleshooting skills.
Fluency in English and at least one other major European language (German or French).",Switzerland,Perform implementation reviews advocate new product features ensure prompt proper resolution technical challenges Guarantee technical aspects partner ’ integration new ongoing providing necessary documentation technical guidance Improve product feature offerings providing partner feedback internal cross-functional teams including Product Management Engineering Understand operational workflows identify define tool needs enable operational scaling Develop technical tools documentation expedite client implementation improve operational scaling product serviceability Engineering,BA/BS degree Computer Science related technical subject equivalent practical experience Experience web technologies HTML CSS JavaScript HTTP Experience one programming languages including Java C++ Python Experience working managing external partners/customers,Familiarity SQL/MySQL Unix/Linux operating systems/commands Demonstrated ability adapt message technical level audience comfort presenting technical materials groups size background Excellent project management skills attention detail Excellent problem solving analytical troubleshooting skills Fluency English least one major European language German French
187,Google,"Software Engineer, Tools and Infrastructure",Software Engineering,"Sydney, Australia","Lead/contribute to engineering efforts from planning and organization to execution and delivery to solve complex engineering problems in tools and testing.
Design and build advanced automated testing frameworks.
Design and build tooling and infrastructure to help Engineering teams measure and increase their velocity.
Drive adoption of best practices in code health, testing, and maintainability.
Analyze and decompose complex software systems and collaborate with and influence others to improve the overall design.","BS degree in Computer Science or related technical field or equivalent practical experience.
3 years of relevant work experience, including development and/or test automation experience.","Master's or PhD in Computer Science or related technical field.
Experience with one or more general purpose programming languages including but not limited to: C/C++, C#, Python, JavaScript, Go, Objective-C, Swift.
Deep knowledge of internet technologies.
Good scripting skills in one common language (Perl, Python, Shell).
Extensive knowledge of UNIX/Linux environments.",Australia,Lead/contribute engineering efforts planning organization execution delivery solve complex engineering problems tools testing Design build advanced automated testing frameworks Design build tooling infrastructure help Engineering teams measure increase velocity Drive adoption best practices code health testing maintainability Analyze decompose complex software systems collaborate influence others improve overall design,BS degree Computer Science related technical field equivalent practical experience 3 years relevant work experience including development and/or test automation experience,Master 's PhD Computer Science related technical field Experience one general purpose programming languages including limited C/C++ C Python JavaScript Go Objective-C Swift Deep knowledge internet technologies Good scripting skills one common language Perl Python Shell Extensive knowledge UNIX/Linux environments
